"ymd","year","month","day","numBlocks","difficulty","rewardPerBlock","transactionFees","difficultyChange","bitx","bitfinex","coinebase","kraken","AvgPrice","Work","revenuePerDay","revenuePerGH"
"2016-02-27",2016,2,27,147,1.58427e+11,25,37.33826946,0,428.4395279,434.2063277,432.1415709,432.1515306,432.47822706,1.00026027495153e+23,1605505.47302305,1.60508770889742e-08
"2016-02-28",2016,2,28,134,1.58427e+11,25,44.48851907,0,426.556809,430.1760507,429.6349169,427.8921737,429.74811859,9.11801883289146e+22,1458775.05464569,1.59988159860281e-08
"2016-02-29",2016,2,29,133,1.58427e+11,25,55.28146424,0,433.8933355,438.7166067,436.1545683,436.3756766,436.74052814,9.04997391622809e+22,1476305.91195403,1.63128195243389e-08
"2016-03-01",2016,3,1,141,1.58427e+11,25,60.06599979,0,434.1829925,435.4169487,433.4222232,432.460279,434.10905602,9.59433324953504e+22,1556309.61693823,1.62211336260772e-08
"2016-03-02",2016,3,2,157,1.58427e+11,25,92.15325496,0,431.6442742,430.9229363,430.7489859,428.2404871,432.14729739,1.06830519161489e+23,1736001.92233241,1.6250056032286e-08
"2016-03-03",2016,3,3,135,1.58427e+11,25,56.09368275,0,425.0563166,420.9240699,418.1928941,420.5494073,421.87284168,9.18606374955483e+22,1447485.24201204,1.57574047108283e-08
"2016-03-04",2016,3,4,155,1.58427e+11,25,51.56297271,0,419.5408173,419.1198654,417.4140244,419.0550057,419.76623145,1.05469620828222e+23,1648238.54160559,1.56276141761244e-08
"2016-03-05",2016,3,5,150,1.65497e+11,25,62.07709524,1,404.2785386,402.7002225,398.0217148,400.8479247,404.38429696,1.0662225731445e+23,1541544.11611595,1.44579954968467e-08
"2016-03-06",2016,3,6,148,1.65497e+11,25,39.12461422,0,401.595126,402.655624,401.7694795,400.4981152,404.50440421,1.05200627216924e+23,1512492.37434201,1.43772182196523e-08
"2016-03-07",2016,3,7,133,1.65497e+11,25,43.73955784,0,408.2679129,408.3288839,407.3252976,405.7533559,410.01949679,9.45384014854791e+22,1381248.89832212,1.46104532826724e-08
"2016-03-08",2016,3,8,154,1.65497e+11,25,44.92403847,0,412.1806401,411.820979,411.9615731,410.9078189,413.10614837,1.09465517509502e+23,1609017.06772607,1.46988485902549e-08
"2016-03-09",2016,3,9,168,1.65497e+11,25,54.68048263,0,411.6597427,410.9638538,411.3105933,410.404368,412.88704502,1.19416928192184e+23,1756702.45197737,1.47106652178342e-08
