"hourlyTime","year","month","day","hour","price","volumeBTC","volumeUSD"
"16/12/11:01","16","12","11","01",767.917544483986,59.02153637,45323.6732809227
"16/12/11:02","16","12","11","02",769.530650887574,29.68416565,22842.8753136991
"16/12/11:03","16","12","11","03",769.494028268551,81.77107465,62922.3536282769
"16/12/11:04","16","12","11","04",769.704649446494,48.61796587,37421.47437677
"16/12/11:05","16","12","11","05",769.682348993289,34.08914048,26237.8097198086
"16/12/11:06","16","12","11","06",769.340757575758,57.24893065,44043.935676673
"16/12/11:07","16","12","11","07",769.339216589862,68.36546461,52596.2329848593
"16/12/11:08","16","12","11","08",769.099615384615,136.4006372,104905.677608736
"16/12/11:09","16","12","11","09",770.077917981073,147.72230735,113757.686883448
"16/12/11:10","16","12","11","10",771.199737827715,119.71425337,92323.6008131847
"16/12/11:11","16","12","11","11",771.477223974763,127.30960119,98216.4577113954
"16/12/11:12","16","12","11","12",771.238166189112,167.10388625,128876.894794524
"16/12/11:13","16","12","11","13",771.332159468439,146.80472402,113235.204798515
"16/12/11:14","16","12","11","14",771.039798488665,143.89195501,110946.42399505
"16/12/11:15","16","12","11","15",771.004265129683,121.84365364,93941.9766354238
"16/12/11:16","16","12","11","16",770.985056179775,111.6856853,86107.9943554972
"16/12/11:17","16","12","11","17",771.119918699187,177.79103981,137098.212163731
"16/12/11:18","16","12","11","18",771.579005847953,109.02105675,84118.3585836583
"16/12/11:19","16","12","11","19",771.788333333333,128.11979665,98881.3643235091
"16/12/11:20","16","12","11","20",772.075257731959,106.31787748,82085.4026568858
"16/12/11:21","16","12","11","21",772.322834394904,147.91680738,114239.527930367
"16/12/11:22","16","12","11","22",772.219455252918,83.75846615,64679.917103173
"16/12/11:23","16","12","11","23",772.279680851064,63.32629204,48905.6086061325
"16/12/12:00","16","12","12","00",772.506602870813,95.33964818,73650.5077344303
"16/12/12:01","16","12","12","01",773.274201680672,96.35174688,74506.3201491702
"16/12/12:02","16","12","12","02",774.5778,64.6797398,50099.4905588564
"16/12/12:03","16","12","12","03",777.578379888268,375.28352896,291812.358447469
"16/12/12:04","16","12","12","04",779.186121883656,67.3428178,52472.5890382997
"16/12/12:05","16","12","12","05",779.333010752688,144.83390373,112873.842252966
"16/12/12:06","16","12","12","06",779.381272401434,256.23882973,199707.745153622
"16/12/12:07","16","12","12","07",779.637780040733,199.8047761,155775.35208014
"16/12/12:08","16","12","12","08",779.638704663212,270.09035796,210572.896821958
"16/12/12:09","16","12","12","09",779.718795698925,236.0340546,184040.188796646
"16/12/12:10","16","12","12","10",780.523927958834,236.2215133,184376.543429296
"16/12/12:11","16","12","12","11",780.582012779553,304.27024723,237507.882011726
"16/12/12:12","16","12","12","12",780.714049459042,314.66692713,245664.890910495
"16/12/12:13","16","12","12","13",779.926382978723,253.26724352,197529.805165545
"16/12/12:14","16","12","12","14",779.555112781955,226.98889367,176950.352605168
"16/12/12:15","16","12","12","15",779.505544933078,221.77853912,172877.600991198
"16/12/12:16","16","12","12","16",778.71086115993,210.59279474,163990.896546062
"16/12/12:17","16","12","12","17",779.042131868132,161.92228977,126144.28581939
"16/12/12:18","16","12","12","18",781.774094240838,390.96864481,305649.158172906
"16/12/12:19","16","12","12","19",788.471824817518,527.35370949,415803.541645868
"16/12/12:20","16","12","12","20",781.665558035714,496.9153932,388421.648122214
"16/12/12:21","16","12","12","21",779.672016806723,220.32701319,171782.806730849
"16/12/12:22","16","12","12","22",778.880511945393,137.45090307,107057.829750518
"16/12/12:23","16","12","12","23",779.350338461539,154.50394958,120412.705398817
"16/12/13:00","16","12","13","00",779.372671755725,116.34696955,90677.6485088655
"16/12/13:01","16","12","13","01",779.357066666667,74.27968653,57890.3986069403
"16/12/13:02","16","12","13","02",779.834710144927,88.78369502,69236.6070715173
