"hourlyTime","year","month","day","hour","price","volumeBTC","volumeUSD"
"13/05/11:08","13","05","11","08",116.542164948454,29.73130721,3464.95090900097
"13/05/11:09","13","05","11","09",116.141534653465,130.51556971,15158.2785622907
"13/05/11:10","13","05","11","10",116.144857142857,190.00879982,22068.5449109796
"13/05/11:11","13","05","11","11",115.380578947368,146.36108571,16887.2268045852
"13/05/11:12","13","05","11","12",114.825196078431,307.77051329,35339.8095356837
"13/05/11:13","13","05","11","13",115.232386363636,98.53730165,11354.688414963
"13/05/11:14","13","05","11","14",114.19851758794,575.8999198,65766.9171201734
"13/05/11:15","13","05","11","15",114.591746987952,100.69574673,11538.901532047
"13/05/11:16","13","05","11","16",114.695555555556,40.50328444,4645.54671067049
"13/05/11:17","13","05","11","17",115.257183098592,57.35564626,6610.65022272687
"13/05/11:18","13","05","11","18",115.333942307692,38.76576894,4471.00895843929
"13/05/11:19","13","05","11","19",115.102556818182,55.65719416,6406.28535314198
"13/05/11:20","13","05","11","20",114.922698412698,84.73421494,9737.88462878638
"13/05/11:21","13","05","11","21",115.137373737374,42.07308627,4844.18465815376
"13/05/11:22","13","05","11","22",115.308347826087,34.9836992,4033.9125555968
"13/05/11:23","13","05","11","23",115.852260273973,255.60250639,29612.128096974
"13/05/12:00","13","05","12","00",117.056826086957,186.37849396,21816.8749538246
"13/05/12:01","13","05","12","01",116.963823529412,116.12236125,13582.1153690636
"13/05/12:02","13","05","12","02",116.761614906832,82.4177386,9623.22825590517
"13/05/12:03","13","05","12","03",116.589051094891,40.91150176,4769.83316906534
"13/05/12:04","13","05","12","04",116.225774647887,216.93016722,25212.8767296402
"13/05/12:05","13","05","12","05",115.613411764706,41.77131461,4829.32419595901
"13/05/12:06","13","05","12","06",114.624411027569,419.18280856,48048.5825440722
"13/05/12:07","13","05","12","07",114.419378531073,58.6726461,6713.28770353561
"13/05/12:08","13","05","12","08",114.441976047904,192.18234918,21993.7278016875
"13/05/12:09","13","05","12","09",114.484725274725,68.00256548,7785.25502695432
"13/05/12:10","13","05","12","10",114.575238095238,103.7160589,11883.2921427672
"13/05/12:11","13","05","12","11",114.565454545455,17.94881318,2056.31394051815
"13/05/12:12","13","05","12","12",113.677932960894,571.4874815,64965.5156099471
"13/05/12:13","13","05","12","13",113.618532110092,365.53776949,41531.8648002509
"13/05/12:14","13","05","12","14",113.996666666667,35.5033929,4047.268445957
"13/05/12:15","13","05","12","15",115.319075144509,274.23622601,31624.6679545937
"13/05/12:16","13","05","12","16",114.998536585366,54.83048491,6305.42552491599
"13/05/12:17","13","05","12","17",114.548181818182,9.05439116,1037.16404484862
"13/05/12:18","13","05","12","18",114.689285714286,39.19141909,4494.83586156132
"13/05/12:19","13","05","12","19",114.676666666667,9.48686665,1087.92224453317
"13/05/12:20","13","05","12","20",114.806428571429,20.80020344,2387.99707050554
"13/05/12:21","13","05","12","21",114.806,7.67358575,880.9736856145
"13/05/12:22","13","05","12","22",114.652857142857,4.07951869,467.728473576186
"13/05/12:23","13","05","12","23",115.459,115.08564662,13287.6736730986
"13/05/13:00","13","05","13","00",115.343052631579,184.99097648,21337.4239364998
