"hourlyTime","year","month","day","hour","price","volumeBTC","volumeUSD"
"16/06/27:06","16","06","27","06",635.097617260788,1544.09526744,980651.225174803
"16/06/27:07","16","06","27","07",637.293395638629,729.08164448,464638.916908455
"16/06/27:08","16","06","27","08",629.825514780836,3181.58477633,2003843.26957091
"16/06/27:09","16","06","27","09",630.752692307692,1804.25435438,1138038.29163306
"16/06/27:10","16","06","27","10",636.366019184652,1184.60915762,753845.013924324
"16/06/27:11","16","06","27","11",641.557871396896,697.95267612,447777.033227314
"16/06/27:12","16","06","27","12",639.713594080338,1189.18056262,760734.971724119
"16/06/27:13","16","06","27","13",643.839765051395,1734.21490201,1116556.51505875
"16/06/27:14","16","06","27","14",646.748701923077,3359.70825802,2172886.95471468
"16/06/27:15","16","06","27","15",644.281927710843,485.63342454,312884.83892345
"16/06/27:16","16","06","27","16",649.426036505867,1361.13321574,883955.349454513
"16/06/27:17","16","06","27","17",654.943984375,3341.91877802,2188769.59993405
"16/06/27:18","16","06","27","18",660.282822201317,3818.49958797,2521289.6845194
"16/06/27:19","16","06","27","19",656.848178294574,1881.74996061,1236024.03363256
"16/06/27:20","16","06","27","20",658.188597972973,902.6186773,594093.321716306
"16/06/27:21","16","06","27","21",657.278665297741,679.83335102,446839.957583316
"16/06/27:22","16","06","27","22",654.014174573055,1476.374112,965569.596220707
"16/06/27:23","16","06","27","23",647.869975062344,1423.67161026,922354.090636114
"16/06/28:00","16","06","28","00",649.298450704225,405.70945995,263426.523781583
"16/06/28:01","16","06","28","01",645.308153477218,900.01728739,580788.493823216
"16/06/28:02","16","06","28","02",649.057979094077,680.91038822,441950.320522236
"16/06/28:03","16","06","28","03",647.734380165289,380.44662044,246428.355876682
"16/06/28:04","16","06","28","04",649.613157894737,568.83540492,369522.963712412
"16/06/28:05","16","06","28","05",651.432575757576,947.24402868,617065.617473995
"16/06/28:06","16","06","28","06",648.694090909091,817.8971055,530565.019309499
"16/06/28:07","16","06","28","07",645.137630522088,2671.37599194,1723405.17767376
"16/06/28:08","16","06","28","08",639.279132906894,6622.50021094,4233626.19252545
"16/06/28:09","16","06","28","09",641.794112903226,1904.4535576,1222267.08156528
"16/06/28:10","16","06","28","10",648.861542100284,2688.92587571,1744740.59030655
"16/06/28:11","16","06","28","11",649.177021276596,1161.54459861,754048.062605559
"16/06/28:12","16","06","28","12",648.256814580032,1193.5568241,773731.344811325
"16/06/28:13","16","06","28","13",646.057835051546,795.45500508,513909.938462902
"16/06/28:14","16","06","28","14",645.813964757709,743.61598852,480237.589803324
"16/06/28:15","16","06","28","15",648.016038135593,595.93433632,386175.007611051
"16/06/28:16","16","06","28","16",650.398847583643,2194.56646201,1427343.49783702
"16/06/28:17","16","06","28","17",647.322303664921,122.65086227,79394.6387111054
"16/06/28:18","16","06","28","18",642.609029003783,2065.47014658,1327289.76533008
"16/06/28:19","16","06","28","19",637.683880764904,3173.83187999,2023901.4301274
"16/06/28:20","16","06","28","20",627.265914598961,5704.91066678,3578496.00710313
"16/06/28:21","16","06","28","21",630.694938016529,767.37550288,483979.845224304
"16/06/28:22","16","06","28","22",628.466045627376,1290.45479341,811007.021075276
"16/06/28:23","16","06","28","23",627.71694980695,2034.65521019,1277187.56244929
"16/06/29:00","16","06","29","00",634.777905405405,2207.68602596,1401390.31135167
"16/06/29:01","16","06","29","01",635.097505070994,1312.54372768,833593.24674615
"16/06/29:02","16","06","29","02",637.666396588486,849.60157365,541762.374005303
"16/06/29:03","16","06","29","03",635.74671875,507.68369323,322758.242133854
"16/06/29:04","16","06","29","04",632.606761006289,507.51744907,321058.969610347
"16/06/29:05","16","06","29","05",633.80927765237,1147.96313023,727589.68234263
"16/06/29:06","16","06","29","06",633.0381769437,871.389251,551622.662861376
"16/06/29:07","16","06","29","07",631.1063,996.33963207,628796.218739059
"16/06/29:08","16","06","29","08",632.967894736842,658.05673097,416528.783619489
"16/06/29:09","16","06","29","09",633.463939899833,997.65233211,631976.776948657
"16/06/29:10","16","06","29","10",638.119507620164,2665.67909006,1701021.82842245
"16/06/29:11","16","06","29","11",641.66647819063,1610.82600801,1033613.05153765
"16/06/29:12","16","06","29","12",640.400860759494,541.74293504,346932.64190999
"16/06/29:13","16","06","29","13",640.16717948718,609.11256564,389933.873135958
"16/06/29:14","16","06","29","14",643.066526315789,1275.95137301,820521.617189403
"16/06/29:15","16","06","29","15",638.578272251309,851.53210926,543769.903097764
"16/06/29:16","16","06","29","16",638.401711711712,152.98396279,97665.2237095768
"16/06/29:17","16","06","29","17",639.5132247557,457.01340952,292266.119278733
"16/06/29:18","16","06","29","18",642.130318091451,1291.58435252,829365.471125609
"16/06/29:19","16","06","29","19",639.00280952381,1067.11927723,681892.216246987
"16/06/29:20","16","06","29","20",639.335743801653,249.79109794,159700.377396501
"16/06/29:21","16","06","29","21",636.374378109453,220.54365029,140348.328299287
"16/06/29:22","16","06","29","22",635.891304347826,159.85658514,101651.412433264
"16/06/29:23","16","06","29","23",637.647705882353,221.78559167,141421.073726136
"16/06/30:00","16","06","30","00",639.594388489209,266.84512777,170672.646317378
"16/06/30:01","16","06","30","01",640.320273972603,407.63921973,261019.656859492
"16/06/30:02","16","06","30","02",639.005085714286,211.95974316,135443.353845934
"16/06/30:03","16","06","30","03",646.553126064736,3364.36729296,2175242.19049324
"16/06/30:04","16","06","30","04",654.742790981109,3759.41130324,2461447.44912929
"16/06/30:05","16","06","30","05",654.686219839142,1087.46989806,711951.556749759
"16/06/30:06","16","06","30","06",658.618553820871,5432.64851889,3578043.11092843
"16/06/30:07","16","06","30","07",670.181502914238,7481.96736878,5014276.13596427
"16/06/30:08","16","06","30","08",669.68661849711,1603.25955641,1073681.47090539
"16/06/30:09","16","06","30","09",670.241417165669,2356.78350879,1579613.91888409
"16/06/30:10","16","06","30","10",672.463561827957,2277.95737898,1531843.33276117
"16/06/30:11","16","06","30","11",673.373860072376,1202.00424541,809398.238555116
"16/06/30:12","16","06","30","12",671.351485319516,1544.15534366,1036670.98353021
